split_seed,fold,n_early,model,MAE,MedianAE,Within_50
103,0,100,Ensemble_NN,195.63,122.32,0.1739
103,0,100,Pure_NN,195.63,122.32,0.1739
103,0,100,GaussianProcess,446.41,294.55,0.087
103,0,100,Neural_ODE,174.89,79.45,0.3913
103,0,100,XGBoost,160.61,116.73,0.3478
103,0,150,PINN_Knee,125.99,69.27,0.3333
103,0,150,RandomForest,144.43,79.24,0.3333
103,0,150,PINN_UQ,138.06,71.45,0.2857
103,0,150,Ensemble_NN,142.01,73.04,0.381
103,0,150,Pure_NN,142.01,73.04,0.381
103,0,150,GaussianProcess,332.28,272.76,0.0476
103,0,150,Neural_ODE,147.89,86.23,0.1905
103,0,150,XGBoost,158.97,90.81,0.2381
103,1,50,PINN_Knee,194.95,171.7,0.375
103,1,50,RandomForest,134.1,96.67,0.4167
103,1,50,PINN_UQ,152.14,109.55,0.2917
103,1,50,Ensemble_NN,172.76,102.14,0.1667
103,1,50,Pure_NN,172.76,102.14,0.1667
103,1,50,GaussianProcess,286.38,229.77,0.2083
103,1,50,Neural_ODE,166.46,103.06,0.25
103,1,50,XGBoost,150.29,94.17,0.375
103,1,100,PINN_Knee,122.16,47.26,0.5417
103,1,100,RandomForest,120.23,80.03,0.3333
103,1,100,PINN_UQ,132.27,84.07,0.375
103,1,100,Ensemble_NN,126.39,78.49,0.4583
103,1,100,Pure_NN,126.39,78.49,0.4583
103,1,100,GaussianProcess,535.57,246.93,0.125
103,1,100,Neural_ODE,128.26,86.89,0.4583
103,1,100,XGBoost,116.58,77.37,0.4167
103,1,150,PINN_Knee,98.52,58.99,0.3636
103,1,150,RandomForest,82.26,50.37,0.5
103,1,150,PINN_UQ,108.58,82.7,0.2727
103,1,150,Ensemble_NN,111.94,93.34,0.2273
103,1,150,Pure_NN,111.94,93.34,0.2273
